Name,W,L,ERA,IP,H,R,ER,HR,BB,SO,HBP,BF,FIP,WHIP
Allan Winans,1,2,5.29,32.1,37,19,19,5,8,34,2,141,4.09,1.392
Luis Frías,1,0,4.06,31,30,14,14,3,17,26,2,139,4.67,1.516
Sean Hjelle,2,1,6.52,29,38,25,21,3,13,31,4,139,4.22,1.759
Mason Miller,0,3,3.78,33.1,24,15,14,2,16,38,3,139,3.47,1.2
Jackson Kowar,2,0,6.43,28,34,24,20,4,20,29,1,137,5.29,1.929
Daniel Duarte,3,0,3.69,31.2,24,14,13,5,20,23,1,136,5.84,1.389
Bowden Francis,1,0,1.73,36.1,22,7,7,5,8,35,1,136,3.86,0.826
Victor González*,3,3,4.01,33.2,27,15,15,2,10,30,3,135,3.4,1.099
Richard Bleier*,1,0,5.28,30.2,37,20,18,5,5,16,3,132,5.11,1.37
Luis Cessa,1,4,9,26,46,26,26,3,12,11,1,132,5.41,2.231
Jimmy Cordero,3,2,3.86,32.2,25,14,14,2,10,34,2,132,3.07,1.071
Andrew Suárez*,0,0,7.16,27.2,33,27,22,7,15,17,0,130,6.94,1.735
Thomas Hatch,1,1,4.08,28.2,33,18,13,2,12,26,1,129,3.71,1.57
Nick Wittgren,1,0,4.97,29,30,17,16,2,11,18,3,128,4.36,1.414
Connor Brogdon,2,1,4.03,29,29,14,13,5,13,26,1,127,5.15,1.448
Robert Garcia*,2,2,3.66,32,26,16,13,3,12,33,0,127,3.54,1.188
Jimmy Herget,2,4,4.66,29,33,15,15,7,8,26,2,127,5.63,1.414
Abner Uribe,1,0,1.76,30.2,16,8,6,0,20,39,1,127,2.77,1.174
Keegan Thompson,2,2,4.71,28.2,20,15,15,2,19,26,1,125,4.44,1.36
Trent Thornton,1,2,2.01,31.1,30,12,7,5,6,26,0,125,4.24,1.149
Zach Neal,1,1,6.67,27,30,22,20,8,14,25,2,124,7.03,1.63
Joe Jacques*,2,1,5.06,26.2,32,17,15,2,10,20,6,122,4.53,1.575
Casey Lawrence,1,0,6.59,27.1,32,20,20,7,10,20,2,122,6.44,1.537
Justin Bruihl*,1,0,5.46,28,28,18,17,2,11,22,3,121,4.11,1.393
Tim Herrin*,1,1,5.53,27.2,29,18,17,3,12,32,2,121,3.87,1.482
Ryan Thompson,1,2,3.82,30.2,20,14,13,3,8,21,4,121,4.33,0.913
Isaiah Campbell,4,1,2.83,28.2,22,9,9,2,13,33,1,120,3.32,1.221
Calvin Faucher,1,1,7.01,25.2,31,20,20,4,12,25,1,120,4.85,1.675
Caleb Thielbar*,3,1,3.23,30.2,23,12,11,7,6,36,0,120,4.46,0.946
Mike Mayers,1,2,6.15,26.1,34,19,18,4,10,17,0,119,5.08,1.671
Daniel Palencia,5,3,4.45,28.1,22,16,14,3,14,33,2,119,4,1.271
Stephen Nogosek,0,1,5.61,25.2,28,16,16,6,14,25,2,118,6.22,1.636
