Pick,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,Draft Year
17,MIL,Donte DiVincenzo,Villanova,5,273,6645,2487,1258,758,0.42,0.362,0.777,24.3,9.1,4.6,2.8,13.4,0.097,0.1,3.5,2018
18,SAS,Lonnie Walker IV,Miami (FL),5,264,5537,2606,601,394,0.422,0.349,0.8,21,9.9,2.3,1.5,3.8,0.033,-2.8,-1.1,2018
19,ATL,Kevin Huerter,Maryland,5,349,10325,4265,1209,1092,0.444,0.385,0.766,29.6,12.2,3.5,3.1,14.3,0.067,-0.8,3.1,2018
20,MIN,Josh Okogie,Georgia Tech,5,316,6367,2081,963,383,0.4,0.291,0.749,20.1,6.6,3,1.2,8.2,0.062,-2.3,-0.5,2018
21,UTA,Grayson Allen,Duke,5,264,6170,2556,727,448,0.435,0.395,0.861,23.4,9.7,2.8,1.7,13.1,0.102,-0.4,2.4,2018
22,CHI,Chandler Hutchison,Boise State,4,103,1790,558,376,79,0.442,0.309,0.643,17.4,5.4,3.7,0.8,1.1,0.03,-3.9,-0.9,2018
23,IND,Aaron Holiday,UCLA,5,308,5305,2043,508,677,0.413,0.377,0.841,17.2,6.6,1.6,2.2,5.6,0.051,-2.3,-0.4,2018
24,POR,Anfernee Simons,,5,273,6546,3450,617,673,0.433,0.387,0.857,24,12.6,2.3,2.5,6.4,0.047,-1.8,0.3,2018
25,LAL,Moritz Wagner,Michigan,5,253,4072,2074,941,301,0.49,0.319,0.822,16.1,8.2,3.7,1.2,9.3,0.11,-0.9,1.1,2018
26,PHI,Landry Shamet,Wichita State,5,302,6901,2700,539,516,0.406,0.388,0.842,22.9,8.9,1.8,1.7,11.8,0.082,-1.8,0.4,2018
27,BOS,Robert Williams,Texas A&M,5,209,4284,1534,1447,299,0.732,0,0.656,20.5,7.3,6.9,1.4,22.2,0.249,4.9,7.4,2018
28,GSW,Jacob Evans,Cincinnati,2,59,622,168,66,54,0.337,0.315,0.833,10.5,2.8,1.1,0.9,-0.6,-0.047,-7.4,-0.8,2018
29,BRK,Džanan Musa,,2,49,526,211,91,45,0.376,0.227,0.726,10.7,4.3,1.9,0.9,0,0.003,-4.6,-0.4,2018
30,ATL,Omari Spellman,Villanova,2,95,1691,642,413,94,0.417,0.366,0.766,17.8,6.8,4.3,1,2.4,0.068,-1.5,0.2,2018
31,PHO,Elie Okobo,,2,108,1677,523,188,242,0.395,0.315,0.737,15.5,4.8,1.7,2.2,0.5,0.014,-4.1,-0.9,2018
32,MEM,Jevon Carter,West Virginia,5,304,4954,1635,588,517,0.4,0.397,0.811,16.3,5.4,1.9,1.7,8,0.077,-0.9,1.4,2018
33,DAL,Jalen Brunson,Villanova,5,345,9213,4919,1084,1455,0.493,0.386,0.812,26.7,14.3,3.1,4.2,26,0.135,1,7,2018
34,ATL,Devonte' Graham,Kansas,5,313,8046,3619,722,1399,0.372,0.356,0.812,25.7,11.6,2.3,4.5,12.6,0.075,-0.4,3.3,2018
35,ORL,Melvin Frazier,Tulane,3,32,290,87,28,5,0.34,0.209,0.533,9.1,2.7,0.9,0.2,-0.4,-0.062,-10,-0.6,2018
